section_name,Shape,Thickness,D_bot,B_bottom,H,B_top,D_top,Bottom_lip_angle,Bottom_flange_angle,Web_angle,Top_flange_angle,Top lip_angle,r1,r2,r3,r4
Z12x2.5 105,Z,0.105,1.1,3.5,12,3.5,1.1,-55,0,90,0,-55,0.2925,0.2925,0.2925,0.2925
Z12x2.5 120,Z,0.12,1.1,3.5,12,3.5,1.1,-55,0,90,0,-55,0.3075,0.3075,0.3075,0.3075
C6x2.5 1345,C,0.1345,0.75,2.5,6,2.5,0.75,-90,-180,90,0,-90,0.3845,0.3845,0.3845,0.3845
C7x2.5 090,C,0.0906,0.625,2.5,7,2.5,0.625,-90,-180,90,0,-90,0.2718,0.2718,0.2718,0.2718
C7x2.5 121,C,0.1217,0.625,2.5,7,2.5,0.625,-90,-180,90,0,-90,0.3651,0.3651,0.3651,0.3651
C8.5x2.25 0.062,C,0.062,1,2.25,8.5,2.25,1,-90,-180,90,0,-90,0.195,0.195,0.195,0.195
C8x2.0 060,C,0.06,0.75,2,8,2,0.75,-90,-180,90,0,-90,0.18,0.18,0.18,0.18
C8x2.5 060,C,0.06,1,2.5,8,2.5,1,-90,-180,90,0,-90,0.18,0.18,0.18,0.18
C8x2.5 067,C,0.067,1,2.5,8,2.5,1,-90,-180,90,0,-90,0.201,0.201,0.201,0.201
C8x2.5 075,C,0.075,1,2.5,8,2.5,1,-90,-180,90,0,-90,0.225,0.225,0.225,0.225
C8x2.5 089,C,0.089,1,2.5,8,2.5,1,-90,-180,90,0,-90,0.267,0.267,0.267,0.267
C8x2.5 099,C,0.099,1,2.5,8,2.5,1,-90,-180,90,0,-90,0.297,0.297,0.297,0.297
C8x2.5 105,C,0.105,1,2.5,8,2.5,1,-90,-180,90,0,-90,0.315,0.315,0.315,0.315
C9x2.5 0826,C,0.0826,0.75,2.5,9,2.5,0.75,-90,-180,90,0,-90,0.2765,0.2765,0.2765,0.2765
C9x2.5 101,C,0.101,0.75,2.5,9,2.5,0.75,-90,-180,90,0,-90,0.2925,0.2925,0.2925,0.2925
C10x2.5 060,C,0.06,1,2.5,10,2.5,1,-90,-180,90,0,-90,0.18,0.18,0.18,0.18
C10x2.5 067,C,0.067,1,2.5,10,2.5,1,-90,-180,90,0,-90,0.201,0.201,0.201,0.201
C10x2.5 075,C,0.075,1,2.5,10,2.5,1,-90,-180,90,0,-90,0.225,0.225,0.225,0.225
C10x2.5 089,C,0.089,1,2.5,10,2.5,1,-90,-180,90,0,-90,0.267,0.267,0.267,0.267
C10x2.5 099,C,0.099,1,2.5,10,2.5,1,-90,-180,90,0,-90,0.297,0.297,0.297,0.297
C10x2.5 105,C,0.105,1,2.5,10,2.5,1,-90,-180,90,0,-90,0.315,0.315,0.315,0.315
